process_id,phase,step_order,formal_step,primary_actor,secondary_actors,formal_objective,inputs,outputs,business_rules,required_validations,critical_dependencies,si_support,traceability_expected,risk_if_missing
BO-F-001,Pré-hospitalisation,1,Consultation chirurgicale réalisée,Médecin,Patient,Confirmer l'indication opératoire,"Patient, indication, dossier initial","Décision opératoire, orientation préadmission",Intervention programmée uniquement après décision médicale,Validation médicale,"Disponibilité médecin, dossier initial",DHE / SIH,Compte rendu de consultation,Retard ou programmation inadaptée
BO-F-002,Pré-hospitalisation,2,Création d'une préadmission automatique,Administration,"Médecin, SIH",Préparer administrativement l'arrivée,"Données consultation, identité patient",Préadmission créée,Création à partir des données validées,Contrôle cohérence identité,"DHE, référentiel identité",DHE / SIH,Horodatage de préadmission,Erreur dossier à l'arrivée
BO-F-003,Admission,3,Arrivée patient jour J,Patient,Accueil,Déclencher le parcours de prise en charge,"Convocation, pièce d'identité, dossier",Patient présenté,Présence au rendez-vous programmé,Accueil confirmé,Flux accueil,SIH admissions,Heure d'arrivée,Retard ou annulation
BO-F-004,Admission,4,Identification du patient,Administration,Patient,Sécuriser l'identitovigilance,"Pièce d'identité, dossier",Identité confirmée,Concordance stricte identité / dossier,Contrôle d'identité,Référentiel identité,SIH admissions,Trace de contrôle identité,Erreur d'identité
BO-F-005,Admission,5,Vérification du rendez-vous,Administration,Patient,Confirmer la programmation opératoire,"Planning opératoire, dossier patient",RDV confirmé,Le patient doit correspondre à une séquence planifiée,Validation agenda,Planning bloc,SIH / agenda bloc,Trace de vérification RDV,Désorganisation du flux
BO-F-006,Admission,6,Transformation préadmission en admission,Administration,SIH,Ouvrir le séjour hospitalier,Préadmission valide,Admission active,Pas d'admission sans dossier minimal,Validation administrative,Disponibilité SIH admissions,SIH admissions,Numéro de séjour,Patient non pris en charge administrativement
BO-F-007,Admission,7,Vérification des formalités administratives et comptables,Administration,"Patient, comptabilité",Sécuriser couverture et conformité,"Pièces assurance, garanties, avance",Dossier administratif conforme,Formalités complètes avant prise en charge sauf exception,Validation administrative et comptable,Garanties financières,SIH facturation,Statut dossier conforme,Blocage facturation / litige
BO-F-008,Admission,8,Création étiquettes et bracelet patient,Administration,Hospitalisation,Matérialiser l'identification du patient,Admission active,Bracelet et étiquettes édités,Bracelet obligatoire avant hospitalisation,Contrôle identité posé,"Imprimante, SIH",SIH admissions,Édition bracelet,Erreur d'identification au soin
BO-F-009,Hospitalisation,9,Orientation vers l'hospitalisation,Administration,"Brancardage, unité",Diriger le patient vers l'unité correcte,"Admission, affectation prévue",Patient orienté,Orientation selon spécialité et disponibilité,Validation orientation,Disponibilité unité,SIH lits,Trace de transfert,Errance du patient
BO-F-010,Hospitalisation,10,Vérification de l'identité du patient dans l'unité,Infirmier,Patient,Sécuriser la continuité d'identité,"Bracelet, dossier",Identité reconfirmée,Contrôle à chaque point clé,Validation infirmière,"Bracelet, dossier",SIH soins,Trace de contrôle,Erreur de prise en charge
