obs_id,formal_reference,probable_real_situation,actual_actors_mobilized,likely_workaround,operational_irritant,field_constraint,observed_or_expected_effect,socio_technical_gap,severity,weak_signal,potential_realignment_lever
BO-I-001,BO-F-002,La préadmission n'est pas toujours créée en amont; le patient arrive avec un dossier papier incomplet.,"Secrétaire admissions, accompagnant, infirmier d'accueil",Création manuelle en urgence au guichet ou sur un poste disponible,Temps d'attente élevé à l'arrivée,"Connexion lente, données amont incomplètes, consultation hors SIH",Retard d'admission et stress patient,"Le processus suppose une alimentation amont fiable du DHE, mais l'entrée réelle dépend de rattrapages manuels.",Majeure,Multiplication des appels à l'accueil pour 'retrouver' un dossier,Fiabiliser l'alimentation amont et prévoir un mode dégradé cadré
BO-I-002,BO-F-004,L'identité est vérifiée à l'oral faute de pièce disponible immédiatement.,"Accueil, accompagnant, patient","S'appuyer sur dossier papier, ancien bracelet ou confirmation orale",Risque identitovigilance,"Pièce d'identité absente, patient anxieux ou déjà transféré",Création ou fusion erronée de dossier possible,"La règle formelle exige une concordance stricte, la pratique réelle contourne sous pression de flux.",Critique,Corrections ultérieures d'identité dans le SIH,Renforcer les points de contrôle et les scénarios sans pièce
BO-I-003,BO-F-007,Le dépôt d'avance est reporté pour ne pas bloquer l'entrée clinique.,"Admissions, comptabilité, cadre de santé",Mention manuscrite 'à régulariser' ou Excel parallèle,Dette patient non suivie en temps réel,Priorité donnée à la continuité du soin,Décalage entre prise en charge et statut financier,La règle comptable est assouplie localement pour absorber la pression clinique.,Majeure,Liste informelle des dossiers à régulariser,Mettre en place une règle d'exception outillée et tracée
BO-I-004,BO-F-008,Le bracelet n'est pas imprimé immédiatement; une étiquette manuscrite temporaire est utilisée.,"Admissions, infirmier",Écriture manuelle du nom sur support temporaire,Traçabilité faible,"Imprimante panne, consommables absents, files d'attente",Risque d'erreur d'identification au transfert,Le processus formel dépend d'une capacité matérielle continue non garantie.,Critique,Demandes répétées d'impression depuis une autre unité,Sécuriser les équipements et un kit de secours standardisé
BO-I-005,BO-F-011,Affectation du lit décidée oralement avant mise à jour dans le SIH.,"Cadre, infirmier, admissions",Réservation 'de tête' ou sur cahier d'unité,Double affectation potentielle,Tension sur les lits et visibilité SIH incomplète,Patient déplacé ou attente prolongée,Le SIH n'est pas la source unique en temps réel pour la gestion des lits.,Majeure,Tableau mural ou carnet local de lits,Outiller une gestion lits temps réel et clarifier la gouvernance
BO-I-006,BO-F-012,L'évaluation initiale est partiellement notée sur papier puis ressaisie plus tard.,"Infirmier, médecin",Notes papier au poste puis saisie différée,Double saisie,"Manque de postes, urgence clinique, interruption fréquente",Perte d'information ou ressaisie incomplète,La traçabilité formelle n'est pas compatible avec le rythme réel de l'unité.,Majeure,Décalage entre heure réelle du soin et heure de saisie,Adapter l'ergonomie et le nombre de points de saisie
BO-I-007,BO-F-014,Le médecin donne certaines consignes oralement avant de saisir la prescription.,"Médecin, infirmier",Exécution sur consigne verbale puis régularisation SIH,Insécurité médico-légale,Indisponibilité du médecin ou lenteur SIH,Administration non immédiatement tracée,L'ordre réel circule plus vite par le canal oral que par le canal outillé.,Critique,Mention fréquente 'prescription à venir',Encadrer les prescriptions verbales et simplifier la saisie mobile
BO-I-008,BO-F-015,Les transmissions infirmières passent par cahier local ou groupe de messagerie.,"Infirmiers, aides-soignants","Photo, message, cahier, tableau blanc",Information dispersée,"Poste partagé, manque de temps, difficulté d'accès SIH",Risque d'oubli ou divergence entre supports,Le SIH n'absorbe pas toute la coordination fine du travail collectif.,Majeure,Messages répétés demandant confirmation d'une administration,Créer un espace de transmission rapide intégré ou mieux articulé
BO-I-009,BO-F-016,Les résultats d'examens sont recherchés par téléphone ou papier avant d'apparaître dans le SIH.,"Médecin, infirmier, laboratoire","Appels directs au laboratoire, impression papier",Perte de temps et dépendance interpersonnelle,Interfaces incomplètes ou délais de synchronisation,Décision retardée ou prise sur support non centralisé,Le flux prescrit suppose une interopérabilité stable qui n'est pas toujours réelle.,Majeure,Résultats scannés ou photocopiés dans le dossier,Sécuriser les interfaces et le statut des résultats provisoires
BO-I-010,BO-F-017,La pharmacie délivre parfois sur base d'une ordonnance papier ou d'un échange téléphonique.,"Pharmacie, médecin, infirmier","Bon papier, appel, récupération physique",Écart entre prescription et dispensation SIH,"Urgence thérapeutique, panne ou retard de validation",Traçabilité incomplète et risque de discordance stock,Le temps réel clinique contourne la chaîne de validation outillée.,Critique,Régularisations a posteriori en pharmacie,Définir un circuit d'urgence officiellement outillé
BO-I-011,BO-F-018,Le patient attend longtemps avant l'entrée en bloc malgré un dossier annoncé prêt.,"Brancardier, bloc, unité, patient","Files d'attente informelles, relances téléphoniques",Incertitude sur l'heure réelle de passage,"Programme glissant, coordination verbale",Stress patient et désorganisation amont/aval,Le planning formel ne reflète pas toujours le rythme réel du bloc.,Majeure,Multiplication d'appels entre unité et bloc,Mettre en visibilité le statut temps réel du passage bloc
BO-I-012,BO-F-020,Des éléments de check-list ou de matériel sont confirmés oralement et non saisis immédiatement.,"Chirurgien, anesthésiste, équipe bloc",Validation orale puis saisie différée,Traçabilité per-opératoire partielle,"Charge opératoire, focus sur l'acte, ergonomie système",Documentation incomplète ou tardive,Le système formel concurrence le temps de l'acte opératoire.,Critique,Compte rendu opératoire rédigé longtemps après l'acte,Alléger la saisie per-opératoire et mieux répartir les tâches
BO-I-013,BO-F-021,La fin d'intervention est connue du service avant sa saisie officielle dans le SIH.,"Bloc, SSPI/unité, brancardage",Appel téléphonique pour préparer le retour,Heure de fin non homogène selon supports,Traçabilité différée,Préparation aval basée sur oral plutôt que sur SIH,Le canal oral reste prioritaire pour la coordination temps réel.,Majeure,Écart entre heure réelle et heure SIH,Créer un statut opératoire mis à jour en un clic
